NOM_COM_RBD,Matricula_Anterior,Matricula_Actual,Var_Neta,Var_Porcentual
LO ESPEJO,503,509,6,1.1928429423459244
PEDRO AGUIRRE CERDA,862,889,27,3.1322505800464038
SAN MIGUEL,425,427,2,0.4705882352941176
SAN RAMON,423,435,12,2.8368794326241136
