Agrupado,Asistencia_Anterior_%,Asistencia_Actual_%,Variacion_p.p.
Educación Especial Discapacidad Intelectual,68.60172672672672,67.90969899665552,-0.692027730071203
Educación Parvularia,73.13648353998802,70.37216150086114,-2.7643220391268812
Educación de Personas Jóvenes y Adultas,54.818705736175666,53.63271577857076,-1.1859899576049031
Enseñanza Básica,80.88966305402673,78.50863252512072,-2.3810305289060096
Enseñanza Media H-C niños y jóvenes,75.25386130167247,71.26098778937757,-3.9928735122949064
Enseñanza Media T-P Comercial Niños y Jóvenes,75.50235367136776,74.57573284868268,-0.9266208226850807
Enseñanza Media T-P Industrial Niños y Jóvenes,76.58489036640297,72.19360820565103,-4.391282160751942
Enseñanza Media T-P Técnica Niños y Jóvenes,72.95902770996756,70.93767456115634,-2.0213531488112153
