NOM_COM_RBD,Matricula_Anterior,Matricula_Actual,Var_Neta,Var_Porcentual
LA CISTERNA,3228,3243,15,0.4646840148698885
LO ESPEJO,4101,4159,58,1.4142891977566447
PEDRO AGUIRRE CERDA,4173,4206,33,0.7907979870596693
SAN MIGUEL,3962,3986,24,0.6057546693589096
SAN RAMÓN,2972,3010,38,1.278600269179004
