Agrupado,Asistencia_Anterior_%,Asistencia_Actual_%,Variacion_p.p.
Educación Especial Discapacidad Intelectual,58.29861111111111,68.60172672672672,10.303115615615617
Educación Parvularia,66.8879587950898,73.13648353998802,6.248524744898219
Educación de Personas Jóvenes y Adultas,57.8840944118722,54.818705736175666,-3.065388675696532
Enseñanza Básica,73.5232833142553,80.88966305402673,7.366379739771432
Enseñanza Media H-C niños y jóvenes,69.00590994989336,75.25386130167247,6.247951351779108
Enseñanza Media T-P Comercial Niños y Jóvenes,70.40246746407884,75.50235367136776,5.099886207288918
Enseñanza Media T-P Industrial Niños y Jóvenes,72.70689655172413,76.58489036640297,3.8779938146788453
Enseñanza Media T-P Técnica Niños y Jóvenes,69.85026041666667,72.95902770996756,3.108767293300886
