NOM_COM_RBD,Matricula_Anterior,Matricula_Actual,Var_Neta,Var_Porcentual
LO ESPEJO,482,491,9,1.8672199170124482
PEDRO AGUIRRE CERDA,798,838,40,5.012531328320802
SAN MIGUEL,407,416,9,2.211302211302211
SAN RAMON,405,416,11,2.7160493827160495
