NOM_COM_RBD,Matricula_Anterior,Matricula_Actual,Var_Neta,Var_Porcentual
LO ESPEJO,491,503,12,2.4439918533604885
PEDRO AGUIRRE CERDA,838,862,24,2.863961813842482
SAN MIGUEL,416,425,9,2.1634615384615383
SAN RAMON,416,423,7,1.6826923076923077
