Agrupado,Asistencia_Anterior_%,Asistencia_Actual_%,Variacion_p.p.
Educación Especial Discapacidad Intelectual,65.42229557633922,58.29861111111111,-7.123684465228116
Educación Parvularia,72.3014139523931,66.8879587950898,-5.413455157303304
Educación de Personas Jóvenes y Adultas,57.10179001051229,57.8840944118722,0.7823044013599088
Enseñanza Básica,79.07708430003068,73.5232833142553,-5.553800985775382
Enseñanza Media H-C niños y jóvenes,75.0356933730696,69.00590994989336,-6.029783423176241
Enseñanza Media T-P Comercial Niños y Jóvenes,74.73482283908824,70.40246746407884,-4.332355375009399
Enseñanza Media T-P Industrial Niños y Jóvenes,74.24312411444764,72.70689655172413,-1.5362275627235107
Enseñanza Media T-P Técnica Niños y Jóvenes,75.37827190170941,69.85026041666667,-5.5280114850427395
