NOM_COM_RBD,Matricula_Anterior,Matricula_Actual,Var_Neta,Var_Porcentual
LA CISTERNA,3221,3228,7,0.21732381248059607
LO ESPEJO,4097,4101,4,0.0976324139614352
PEDRO AGUIRRE CERDA,4162,4173,11,0.2642960115329169
SAN MIGUEL,3969,3962,-7,-0.1763668430335097
SAN RAMÓN,2964,2972,8,0.2699055330634278
