Agrupado,Asistencia_Anterior_%,Asistencia_Actual_%,Variacion_p.p.
Educación Especial Discapacidad Intelectual,65.12663773254275,58.29861111111111,-6.82802662143164
Educación Parvularia,69.83578104576387,65.00252066587059,-4.833260379893275
Educación de Personas Jóvenes y Adultas,55.276372126574955,58.014820375931485,2.73844824935653
Enseñanza Básica,76.14720717030956,71.42808996697792,-4.719117203331635
Enseñanza Media H-C niños y jóvenes,72.94975651254629,67.86936323243378,-5.080393280112503
Enseñanza Media T-P Comercial Niños y Jóvenes,73.89760858581013,69.33396250931796,-4.5636460764921765
Enseñanza Media T-P Industrial Niños y Jóvenes,73.16319014584565,70.93109668109668,-2.2320934647489707
Enseñanza Media T-P Técnica Niños y Jóvenes,69.91926556174089,64.40932765151514,-5.509937910225744
