NOM_COM_RBD,Matricula_Anterior,Matricula_Actual,Var_Neta,Var_Porcentual
LA CISTERNA,3202,3207,5,0.1561524047470331
LO ESPEJO,4034,4068,34,0.842835894893406
PEDRO AGUIRRE CERDA,4111,4143,32,0.7783994162004378
SAN MIGUEL,3944,3959,15,0.3803245436105477
SAN RAMÓN,2881,2945,64,2.221450885109337
