Agrupado,Asistencia_Anterior_%,Asistencia_Actual_%,Variacion_p.p.
Educación Especial Discapacidad Intelectual,78.00701341693245,75.94976733274605,-2.057246084186403
Educación Parvularia,83.81126866557935,79.99903561938655,-3.8122330461928016
Educación de Personas Jóvenes y Adultas,73.89421621397479,61.716578256036,-12.177637957938785
Enseñanza Básica,88.04840606082803,84.75627981591019,-3.2921262449178386
Enseñanza Media H-C niños y jóvenes,87.49857114156278,81.79327478776798,-5.705296353794793
Enseñanza Media T-P Comercial Niños y Jóvenes,89.86930896760617,83.05127316049646,-6.818035807109709
Enseñanza Media T-P Industrial Niños y Jóvenes,87.97877095684066,82.57817212182292,-5.400598835017746
Enseñanza Media T-P Técnica Niños y Jóvenes,91.81933306828628,81.6733613523382,-10.145971715948079
