Agrupado,Asistencia_Anterior_%,Asistencia_Actual_%,Variacion_p.p.
Educación Especial Discapacidad Intelectual,67.90969899665552,72.57056668821375,4.660867691558224
Educación Parvularia,70.37216150086114,72.82391104971437,2.451749548853229
Educación de Personas Jóvenes y Adultas,53.63271577857076,50.94635204774727,-2.6863637308234942
Enseñanza Básica,78.50863252512072,79.72000848830525,1.2113759631845369
Enseñanza Media H-C niños y jóvenes,71.26098778937757,71.85998564069934,0.5989978513217693
Enseñanza Media T-P Comercial Niños y Jóvenes,74.57573284868268,74.14572683418534,-0.4300060144973372
Enseñanza Media T-P Industrial Niños y Jóvenes,72.19360820565103,72.43457660446825,0.2409683988172162
Enseñanza Media T-P Técnica Niños y Jóvenes,70.93767456115634,71.16267942583731,0.2250048646809688
